"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Weak.foot"
"L. de Jong",27,82,82,2,"Attacker",23500000,30000,2,402,341,314,405,315,3
"B. Dost",29,82,82,2,"Attacker",2.2e+07,20000,2,376,271,250,376,353,3
"M. Balotelli",27,82,82,0,"Attacker",23500000,70000,4,374,388,344,394,344,4
"M. Arnautović",29,82,82,2,"Attacker",2.2e+07,30000,4,387,394,375,388,365,4
"O. Giroud",31,82,82,1,"Attacker",2e+07,140000,3,398,346,287,393,361,3
"Aduriz",37,82,82,1,"Attacker",6500000,30000,3,381,325,318,387,351,3
"L. Bailey",20,81,89,4,"Attacker",26500000,50000,4,359,391,434,379,307,4
"M. Marega",27,81,81,2,"Attacker",1.9e+07,20000,3,374,279,370,416,338,3
"S. Bergwijn",20,81,87,4,"Attacker",24500000,20000,4,347,372,420,388,296,2
"M. Acuña",26,81,81,4,"Attacker",1.9e+07,20000,4,362,413,404,410,397,3
"Morales",30,81,81,2,"Attacker",1.7e+07,40000,4,353,392,416,360,347,4
"Williams",24,81,86,6,"Attacker",2.4e+07,30000,4,378,332,410,409,302,2
"Á. Correa",23,81,87,5,"Attacker",24500000,50000,4,376,386,421,350,301,4
"Samu Castillejo",23,81,85,4,"Attacker",2.3e+07,90000,4,337,395,414,327,317,2
"Gerard Moreno",26,81,82,4,"Attacker",2.1e+07,50000,3,373,339,375,381,311,4
"J. Martínez",25,81,84,4,"Attacker",22500000,15000,3,358,335,441,379,308,4
"A. Plea",25,81,83,4,"Attacker",2.2e+07,40000,4,390,377,393,398,328,3
"M. Sabitzer",24,81,84,3,"Attacker",22500000,50000,3,362,364,399,402,350,4
"S. Zaza",27,81,81,NA,"Attacker",1.9e+07,60000,4,363,328,379,410,355,3
"Vitolo",28,81,81,3,"Attacker",1.8e+07,70000,3,374,385,373,381,318,4
"L. Stindl",29,81,81,2,"Attacker",1.8e+07,40000,4,390,378,373,384,381,4
"C. Stuani",31,81,81,3,"Attacker",1.6e+07,40000,4,387,345,346,397,358,3
"B. Gomis",32,81,81,1,"Attacker",1.4e+07,60000,4,383,326,334,384,323,3
"Jesús Navas",32,81,81,2,"Attacker",1.4e+07,20000,4,353,363,432,327,349,2
"L. López",35,81,81,1,"Attacker",8e+06,20000,4,380,382,401,386,354,4
"M. Gómez",21,80,85,3,"Attacker",2e+07,20000,4,374,332,301,379,296,3
"M. Lazzari",24,80,83,4,"Attacker",1.9e+07,20000,3,327,361,423,293,312,3
"J. Sancho",18,80,91,3,"Attacker",23500000,30000,5,337,357,434,295,277,4
"Richarlison",21,80,86,4,"Attacker",20500000,80000,4,362,359,399,379,337,5
"L. Martínez",20,80,88,4,"Attacker",22500000,60000,4,351,314,395,389,325,4
"Oyarzabal",21,80,87,5,"Attacker",2.1e+07,30000,3,345,382,386,358,311,3
"André Silva",22,80,86,NA,"Attacker",20500000,20000,3,367,317,385,371,363,3
"Borja Iglesias",25,80,83,3,"Attacker",1.9e+07,40000,3,348,284,348,399,298,3
"W. Weghorst",25,80,81,4,"Attacker",1.8e+07,60000,3,357,267,318,393,333,3
"A. Rebić",24,80,84,3,"Attacker",19500000,40000,4,380,352,390,392,325,4
"K. Baldé",23,80,84,NA,"Attacker",19500000,60000,4,355,354,420,368,294,4
"J. Correa",23,80,85,4,"Attacker",2e+07,50000,4,372,384,398,362,295,4
"D. Benedetto",28,80,80,2,"Attacker",15500000,30000,3,359,349,386,398,328,5
"Rony Lopes",22,80,85,3,"Attacker",2e+07,60000,4,331,389,409,331,290,3
"Santi Mina",22,80,85,2,"Attacker",2e+07,40000,3,373,347,390,378,339,4
"F. Kostić B",25,80,81,NA,"Attacker",17500000,40000,3,339,383,405,384,336,2
"Y. Poulsen",24,80,82,3,"Attacker",18500000,60000,3,382,312,372,383,338,3
"C. Bacca",31,80,80,3,"Attacker",13500000,40000,3,360,338,375,352,330,2
"Bernard",25,80,80,3,"Attacker",1.6e+07,1e+05,4,354,379,450,302,290,4
"T. Inui",30,80,80,NA,"Attacker",1.4e+07,30000,4,334,393,427,335,295,4
"M. Batshuayi",24,80,83,NA,"Attacker",1.9e+07,60000,4,369,306,383,380,299,5
"Deulofeu",24,80,83,4,"Attacker",1.9e+07,60000,4,334,398,423,336,297,4
"Ismaily",28,80,80,4,"Attacker",11500000,2000,4,335,346,399,370,346,2
"Cristian Tello",26,80,80,3,"Attacker",1.6e+07,30000,4,351,392,416,357,293,4
"L. Muriel",27,80,80,NA,"Attacker",1.6e+07,70000,4,355,360,419,358,294,4
"V. Aboubakar",26,80,81,2,"Attacker",17500000,20000,5,370,376,369,388,345,3
"C. Wilson",26,80,81,4,"Attacker",17500000,80000,4,357,323,403,369,342,3
"Sergi Enrich",28,80,80,3,"Attacker",15500000,30000,4,394,318,349,391,332,4
"E. Salvio",27,80,80,3,"Attacker",15500000,15000,4,368,376,407,376,362,4
"Hulk",31,80,80,1,"Attacker",1.3e+07,20000,4,376,395,367,428,366,3
"F. Smolov",28,80,80,3,"Attacker",15500000,2000,4,362,362,388,377,332,4
"A. Modeste",30,80,80,4,"Attacker",14500000,30000,3,377,323,364,389,322,3
"Éder",31,80,80,2,"Attacker",13500000,30000,4,362,382,414,346,323,4
"K. Gameiro",31,80,80,2,"Attacker",13500000,50000,3,372,365,406,372,345,3
"A. Candreva",31,80,80,2,"Attacker",1.3e+07,70000,4,362,381,378,359,370,4
"Raúl García",31,80,80,2,"Attacker",1.3e+07,30000,3,384,381,321,411,398,3
"A. Gignac",32,80,80,3,"Attacker",1.2e+07,70000,3,382,360,342,396,362,3
"F. Chiesa",20,79,87,3,"Attacker",18500000,50000,4,336,347,411,356,303,4
"Raphinha",21,79,85,3,"Attacker",17500000,15000,4,336,375,422,378,348,3
"Luimo Boas Santos",30,79,79,2,"Attacker",1.2e+07,30000,4,344,355,402,386,294,4
"F. Mendy",23,79,86,4,"Attacker",1.5e+07,50000,4,333,337,417,376,355,5
"Soares",27,79,79,2,"Attacker",13500000,20000,3,353,314,379,379,341,3
"B. Verbič",24,79,82,3,"Attacker",1.6e+07,2000,4,352,358,404,362,324,3
"C. Pavón",22,79,86,NA,"Attacker",17500000,10000,4,335,370,437,394,327,3
"Dyego Sousa",28,79,79,NA,"Attacker",0,0,3,359,276,280,402,323,3
"K. Toko-Ekambi",25,79,80,4,"Attacker",1.5e+07,40000,3,370,340,396,368,285,4
"Mata",29,79,79,2,"Attacker",12500000,30000,3,353,302,347,371,307,3
"K. Piątek",23,79,85,4,"Attacker",17500000,80000,3,346,283,369,383,294,3
"Mariano",24,79,82,4,"Attacker",1.6e+07,130000,3,347,349,398,415,345,4
"Angeliño",21,79,84,4,"Attacker",1.4e+07,15000,4,340,396,407,389,360,3
"A. Saint-Maximin",21,79,86,1,"Attacker",17500000,30000,4,322,356,443,361,242,4
"L. Alario",25,79,82,3,"Attacker",1.6e+07,70000,3,358,294,358,376,319,3
"Ricardo Horta",23,79,84,3,"Attacker",1.7e+07,15000,3,360,378,404,336,347,3
"M. Dembélé",21,79,84,4,"Attacker",1.7e+07,50000,4,343,306,383,387,328,3
"Rubén Peña",26,79,79,2,"Attacker",10500000,30000,4,367,344,419,360,342,3
"J. Hofmann",25,79,80,4,"Attacker",1.5e+07,30000,3,331,371,388,339,323,4
"M. Dabbur",26,79,80,2,"Attacker",1.5e+07,50000,4,358,357,377,390,283,4
"R. Fraser",24,79,82,1,"Attacker",1.6e+07,60000,3,324,377,439,332,325,4
"Roger",27,79,79,4,"Attacker",13500000,30000,3,370,298,388,373,328,3
"L. Trossard",23,79,83,2,"Attacker",16500000,20000,4,370,382,416,384,286,4
"D. Cheryshev",27,79,79,NA,"Attacker",1.3e+07,40000,3,358,368,385,380,341,4
"Bernat",25,79,82,2,"Attacker",1.3e+07,70000,4,334,371,415,332,356,3
"Zé Luís",27,79,79,2,"Attacker",13500000,2000,4,344,325,366,386,333,4
"M. Uth",26,79,79,3,"Attacker",1.4e+07,40000,3,364,341,378,387,326,3
"D. CaligiuriB",30,79,79,1,"Attacker",9e+06,30000,3,366,378,384,389,383,4
"A. Finnbogason",29,79,79,3,"Attacker",12500000,30000,3,338,324,354,371,331,4
"W. Khazri",27,79,79,3,"Attacker",13500000,40000,4,358,388,378,348,371,4
"Kike García",28,79,79,2,"Attacker",1.3e+07,30000,3,367,292,327,381,325,4
"Elkeson",28,79,79,3,"Attacker",1.3e+07,30000,4,372,375,393,391,364,4
"J. Guðmundsson",27,79,79,2,"Attacker",1.3e+07,60000,4,365,388,385,382,351,4
"S. Rondón",28,79,79,3,"Attacker",1.3e+07,20000,3,365,310,323,389,322,4
"S. Lulić",32,79,79,1,"Attacker",1e+07,50000,3,361,373,387,395,355,4
"D. Welbeck",27,79,79,0,"Attacker",13500000,110000,3,373,343,375,376,327,3
"N. Kalinić",30,79,79,2,"Attacker",1.2e+07,60000,3,368,317,345,352,333,4
"J. King",26,79,80,2,"Attacker",1.5e+07,80000,4,361,346,404,381,332,3
"S. Feghouli",28,79,79,3,"Attacker",12500000,70000,4,349,369,407,356,309,3
"L. Pratto",30,79,79,3,"Attacker",1.2e+07,30000,3,371,345,350,404,376,3
"M. Gradel",30,79,79,2,"Attacker",1.2e+07,40000,4,358,370,400,350,343,4
"S. Jovetić",28,79,79,2,"Attacker",1.3e+07,80000,3,386,386,364,365,322,4
"Ángel",31,79,79,1,"Attacker",11500000,30000,3,359,309,388,368,298,3
"Charles",34,79,79,1,"Attacker",6500000,30000,4,364,340,362,386,295,3
"S. Kalou",32,79,79,1,"Attacker",1e+07,30000,4,383,381,366,350,315,3
"Jorge Molina",36,79,79,2,"Attacker",4500000,20000,3,371,326,225,340,353,4
"B. Yılmaz",32,79,79,2,"Attacker",1e+07,60000,3,365,328,361,373,346,3
"David Villa",36,79,79,1,"Attacker",4500000,10000,4,374,391,346,361,342,4
"João Félix",18,78,89,4,"Attacker",16500000,8000,4,365,361,404,375,329,4
"Loren",24,78,82,3,"Attacker",13500000,20000,3,347,308,340,364,268,3
"Vinícius Júnior",17,78,92,6,"Attacker",20500000,70000,5,335,370,433,359,286,4
"C. Ünder",20,78,86,4,"Attacker",15500000,50000,3,353,378,405,335,266,4
"Wesley",21,78,85,4,"Attacker",1.5e+07,20000,3,362,328,320,401,322,3
"M. Rashica",22,78,84,3,"Attacker",14500000,30000,3,352,370,425,332,294,4
"C. Pulisic",19,78,86,NA,"Attacker",1.5e+07,20000,4,327,350,430,344,283,4
"G. Martínez",25,78,81,2,"Attacker",1.3e+07,10000,4,321,382,429,349,301,2
"Trezeguet",23,78,80,2,"Attacker",1.3e+07,15000,4,334,359,384,362,271,5
"J. Bamba",22,78,87,4,"Attacker",1.6e+07,30000,4,340,360,412,350,315,3
"Diogo Jota",21,78,85,3,"Attacker",1.5e+07,60000,4,341,368,422,378,354,5
"A. Marušić",25,78,78,3,"Attacker",11500000,50000,3,359,343,384,396,347,4
"O. Al Soma",29,78,78,2,"Attacker",10500000,50000,3,361,353,356,394,333,4
"Jony",26,78,78,NA,"Attacker",1.1e+07,30000,3,333,380,414,319,326,3
"A. Sanabria",22,78,85,NA,"Attacker",1.5e+07,20000,4,365,357,380,362,274,4
"M. Samatta",25,78,80,2,"Attacker",1.3e+07,20000,3,360,313,382,384,296,4
"G. Simeone",22,78,85,4,"Attacker",1.5e+07,50000,3,339,336,383,375,305,3
"M. Philipp",24,78,82,3,"Attacker",13500000,50000,4,358,361,399,356,319,4
"A. Mitrović",23,78,82,5,"Attacker",13500000,60000,3,338,276,336,388,323,4
"G. Cano",30,78,78,0,"Attacker",1e+07,6000,3,347,334,354,370,315,4
"D. Laxalt",25,78,79,3,"Attacker",12500000,80000,4,308,350,410,358,321,3
"D. Selke",23,78,83,3,"Attacker",1.4e+07,30000,3,337,288,362,365,322,3
"P. Sisto",23,78,84,2,"Attacker",1.4e+07,20000,4,340,380,408,380,317,4
"Bruma",23,78,82,3,"Attacker",13500000,40000,4,331,377,434,358,316,4
"De Tomás",23,78,84,NA,"Attacker",14500000,20000,3,351,321,364,388,283,3
"G. Laborde",24,78,83,4,"Attacker",1.4e+07,30000,4,373,329,357,391,304,3
"B. Traoré",22,78,82,3,"Attacker",13500000,60000,4,351,391,403,357,325,1
"L. Pavoletti",29,78,78,3,"Attacker",10500000,40000,3,351,253,329,380,293,3
"R. Jiménez",27,78,78,NA,"Attacker",1.1e+07,70000,3,380,340,343,369,377,4
"S. García",27,78,78,2,"Attacker",1.1e+07,20000,3,344,344,340,393,343,4
"A. Carrillo",27,78,78,NA,"Attacker",1.1e+07,40000,4,368,362,402,363,302,4
"L. Bittencourt",24,78,81,4,"Attacker",1.3e+07,30000,4,328,383,427,330,330,4
"G. Defrel",27,78,78,NA,"Attacker",1.1e+07,40000,4,359,361,404,316,315,3
"Y. Konoplyanka",28,78,78,1,"Attacker",10500000,30000,4,333,395,405,346,313,3
"Sergio León",29,78,78,2,"Attacker",10500000,30000,4,348,327,385,370,318,4
"A. Townsend",26,78,78,2,"Attacker",1.1e+07,60000,4,344,379,389,351,338,4
"I. Belfodil",26,78,78,3,"Attacker",11500000,40000,3,361,365,311,379,326,2
"A. Delort",26,78,79,NA,"Attacker",12500000,30000,3,375,322,366,396,328,3
"Rômulo",31,78,78,NA,"Attacker",9e+06,50000,4,330,385,402,367,367,2
"H. Seferović",26,78,79,4,"Attacker",12500000,15000,3,365,341,349,398,347,3
"C. Tosun",27,78,78,3,"Attacker",1.1e+07,90000,3,365,356,361,383,332,4
"D. Ginczek",27,78,78,3,"Attacker",1.1e+07,50000,3,325,286,333,368,322,4
"M. Antonio",28,78,78,2,"Attacker",10500000,90000,4,368,345,405,390,334,3
"Alan Carvalho",28,78,78,NA,"Attacker",10500000,30000,4,361,371,404,370,319,4
"A. Dzyuba",29,78,78,NA,"Attacker",0,0,3,372,330,288,381,335,3
"S. Wagner",30,78,78,1,"Attacker",1e+07,20000,3,357,283,288,369,301,4
"I. Traoré",30,78,78,2,"Attacker",1e+07,30000,4,337,396,433,333,300,4
"P. Piatti",29,78,78,1,"Attacker",1e+07,30000,3,373,364,418,327,322,2
"N. Petersen",29,78,78,2,"Attacker",10500000,30000,3,370,284,320,367,319,4
"T. Deeney",30,78,78,2,"Attacker",1e+07,60000,2,367,322,324,406,349,3
"N. Amrabat",31,78,78,2,"Attacker",9e+06,40000,4,371,370,396,357,353,2
"M. Sulejmani",29,78,78,1,"Attacker",1e+07,30000,4,346,395,405,329,274,3
"J. Lens",30,78,78,3,"Attacker",1e+07,50000,4,375,360,410,380,289,4
"J. Hernández",30,78,78,1,"Attacker",1e+07,80000,3,362,324,379,343,314,3
"M. Berg",31,78,78,NA,"Attacker",0,0,3,354,309,366,372,308,4
"F. Caicedo",29,78,78,1,"Attacker",10500000,50000,3,364,356,354,385,353,3
"V. Moses B",27,78,78,NA,"Attacker",1.1e+07,60000,4,353,369,388,358,354,4
"K. Mirallas",30,78,78,NA,"Attacker",1e+07,60000,4,367,391,385,357,311,4
"I. Scocco",33,78,78,1,"Attacker",6500000,30000,4,352,395,393,369,335,4
"Gervinho",31,78,78,2,"Attacker",9e+06,50000,3,353,337,421,328,305,3
"T. Walcott",29,78,78,2,"Attacker",1e+07,90000,3,347,369,411,332,322,3
"R. Babel",31,78,78,0,"Attacker",9e+06,60000,4,358,355,382,402,313,3
"G. Hoarau",34,78,78,1,"Attacker",5500000,30000,3,386,327,304,379,329,3
"M. Zárate",31,78,78,2,"Attacker",9500000,30000,4,349,392,396,369,322,3
"M. Gómez",32,78,78,1,"Attacker",8500000,40000,3,363,294,315,374,307,4
"P. Cutrone",20,77,89,4,"Attacker",1.6e+07,60000,3,346,294,371,354,278,3
"M. Rojas",22,77,84,1,"Attacker",12500000,15000,4,350,403,398,377,348,3
"I. Sarr",20,77,88,2,"Attacker",15500000,20000,4,330,350,414,351,274,2
"H. Onyekuru",21,77,86,NA,"Attacker",13500000,40000,4,342,331,424,354,276,4
"Formosandrinho",26,77,77,2,"Attacker",9500000,30000,3,347,319,391,351,262,3
"R. Ábila",28,77,77,1,"Attacker",9e+06,30000,3,343,297,357,369,302,4
"J. Augustin",21,77,84,3,"Attacker",12500000,40000,4,344,299,401,340,284,3
"F. Andone",25,77,79,4,"Attacker",1.1e+07,50000,3,354,313,381,386,361,3
"K. Lasagna",25,77,78,4,"Attacker",10500000,30000,3,350,313,408,352,274,3
"E. Boateng",22,77,84,3,"Attacker",12500000,15000,3,347,299,425,392,298,4
"M. Wolf",23,77,81,4,"Attacker",11500000,40000,3,349,356,376,355,339,4
"Joelinton",21,77,83,3,"Attacker",12500000,30000,3,332,301,369,374,324,4
"B. Fernández",23,77,81,4,"Attacker",1.2e+07,10000,3,350,358,427,365,287,4
"F. Cervi",24,77,80,4,"Attacker",11500000,10000,5,311,382,440,300,329,3
"Wu Lei",26,77,78,1,"Attacker",10500000,30000,3,362,355,416,363,292,4
"A. Schöpf B B",24,77,80,2,"Attacker",11500000,30000,3,332,351,386,357,322,4
"R. Borré",22,77,83,2,"Attacker",12500000,20000,4,355,360,397,380,333,3
"Munir",22,77,82,4,"Attacker",1.2e+07,15000,4,370,356,385,348,285,2
"J. Calleri",24,77,82,0,"Attacker",1.2e+07,20000,4,352,299,371,375,323,2
"F. Cartabia",25,77,78,3,"Attacker",10500000,10000,3,338,378,396,324,326,4
"Paulinho",25,77,79,4,"Attacker",1.1e+07,15000,3,369,309,344,380,324,4
"I. Bebou",24,77,80,2,"Attacker",11500000,30000,4,333,323,418,341,283,3
"A. Jahanbakhsh",24,77,78,4,"Attacker",10500000,50000,4,349,334,387,394,315,4
"A. Petagna",23,77,82,NA,"Attacker",1.2e+07,15000,3,352,309,320,370,301,3
"Ayoze Pérez",24,77,80,2,"Attacker",11500000,50000,4,350,350,392,338,336,4
"B. Bourigeaud",24,77,80,2,"Attacker",11500000,30000,4,343,380,359,366,369,3
"A. Hamdallah",27,77,77,3,"Attacker",9500000,40000,3,358,332,352,369,288,3
"F. Ferreyra",27,77,77,NA,"Attacker",9500000,30000,3,348,293,358,356,297,3
"D. Origi",23,77,82,3,"Attacker",1.2e+07,80000,4,360,303,370,362,309,3
"F. Acheampong",24,77,82,2,"Attacker",1.2e+07,15000,4,334,344,449,385,315,3
"Ricardo Esgaio",25,77,78,3,"Attacker",10500000,15000,4,335,356,389,347,365,3
"V. Grifo",25,77,78,NA,"Attacker",10500000,20000,4,346,394,371,343,312,2
"R. Centurión",25,77,78,2,"Attacker",10500000,20000,4,329,367,432,341,309,3
"R. Pizarro",24,77,81,4,"Attacker",11500000,40000,3,351,352,388,372,329,4
"A. Szymanowski",29,77,77,1,"Attacker",8500000,30000,4,363,344,414,316,304,3
"Garry Rodrigues",27,77,77,4,"Attacker",9500000,40000,4,345,355,434,357,319,3
"E. Vargas",28,77,77,1,"Attacker",9e+06,50000,4,363,355,395,369,304,4
"M. Weiser",24,77,82,4,"Attacker",1e+07,40000,4,342,357,404,328,355,4
"L. Ocampos",23,77,80,1,"Attacker",11500000,40000,4,374,357,375,389,362,3
"N. Füllkrug",25,77,78,3,"Attacker",10500000,40000,3,360,330,317,368,311,4
"Djaniny",27,77,77,3,"Attacker",9500000,40000,4,350,335,381,373,319,4
"M. Elyounoussi",23,77,80,4,"Attacker",11500000,40000,4,364,364,388,364,293,4
"E. Gigliotti",31,77,77,3,"Attacker",8e+06,30000,3,352,292,326,379,322,3
"J. Forrest B",26,77,77,3,"Attacker",9500000,50000,4,334,327,440,355,296,3
"N. Chadli",28,77,77,2,"Attacker",9e+06,60000,4,361,383,345,384,328,4
"N. Jørgensen",27,77,77,3,"Attacker",9500000,15000,3,367,345,345,388,308,3
"Wilson Eduardo",27,77,77,1,"Attacker",9500000,15000,4,367,372,377,366,312,3
"J. Guidetti",26,77,78,3,"Attacker",10500000,30000,4,371,354,331,380,331,3
"R. Inglese",26,77,77,NA,"Attacker",9500000,50000,3,342,283,301,380,251,3
"Lucas Pérez",29,77,77,2,"Attacker",9e+06,80000,4,372,385,371,358,340,4
"M. Gabbiadini",26,77,78,4,"Attacker",10500000,40000,3,359,375,337,367,298,3
"R. Funes Mori",27,77,77,1,"Attacker",9500000,50000,3,364,346,380,375,349,4
"P. Herrmann",27,77,77,3,"Attacker",9500000,30000,3,340,357,398,328,306,2
"Juanmi",25,77,78,2,"Attacker",10500000,30000,3,368,327,396,334,294,3
