"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Weak.foot","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Total.defending"
"Taison",30,82,82,2,"Midfielder",2.1e+07,2000,4,3,364,372,436,380,330,131
"Marlos",30,82,82,2,"Midfielder",2.1e+07,2000,5,4,357,402,420,363,348,136
"A. Ramsey",27,82,82,0,"Midfielder",2.3e+07,130000,3,3,371,379,363,377,381,208
"Luiz Gustavo",30,82,82,2,"Midfielder",16500000,60000,3,3,316,319,335,393,351,247
"Giuliano",28,82,82,2,"Midfielder",22500000,60000,4,3,360,384,413,371,354,130
"G. Sigurðsson",28,82,82,3,"Midfielder",22500000,120000,3,4,384,416,322,389,356,169
"S. Giovinco",31,82,82,3,"Midfielder",2e+07,60000,4,4,339,431,436,314,335,80
"J. Henderson",28,82,82,1,"Midfielder",1.8e+07,120000,3,3,369,391,351,390,378,232
"M. Parolo",33,82,82,1,"Midfielder",9e+06,60000,3,4,371,359,357,415,365,240
"Juan Mata",30,82,82,2,"Midfielder",2.1e+07,150000,4,3,373,418,389,316,339,90
"D. Payet",31,82,82,2,"Midfielder",19500000,60000,4,4,383,413,375,349,330,107
"A. Guardado",31,82,82,1,"Midfielder",1.9e+07,30000,4,2,348,409,395,363,371,223
"Cesc Fàbregas",31,82,82,3,"Midfielder",1.9e+07,90000,3,3,401,409,324,327,333,181
"L. Biglia",32,82,82,1,"Midfielder",12500000,1e+05,3,4,342,393,364,354,367,232
"H. Herrera",28,82,82,0,"Midfielder",2.2e+07,20000,3,4,331,360,362,393,390,230
"David Neres",21,81,87,4,"Midfielder",24500000,20000,5,3,343,363,429,343,330,106
"T. Ndombele",21,81,89,4,"Midfielder",2.6e+07,60000,4,3,325,382,409,364,366,208
"H. Aouar",20,81,90,4,"Midfielder",2.7e+07,60000,4,4,353,384,400,336,361,196
"M. Almirón",24,81,85,5,"Midfielder",2.3e+07,50000,4,2,343,379,409,334,333,145
"Laure Santeiro",30,81,81,2,"Midfielder",1.7e+07,40000,4,5,335,375,421,301,308,65
"Pablo Fornals",22,81,87,3,"Midfielder",24500000,40000,4,3,356,383,366,361,361,219
"Rúben Neves",21,81,87,4,"Midfielder",2.4e+07,60000,3,4,353,406,341,383,377,212
"Dani Ceballos",21,81,88,4,"Midfielder",24500000,120000,4,3,328,386,381,324,366,211
"D. van de Beek",21,81,87,3,"Midfielder",24500000,20000,3,4,366,376,359,394,371,206
"T. Bakayoko",23,81,86,NA,"Midfielder",2e+07,80000,3,3,277,316,335,367,347,239
"M. Brozović",25,81,83,3,"Midfielder",1.8e+07,60000,3,4,351,400,365,382,381,230
"Dani García",28,81,81,3,"Midfielder",14500000,30000,3,3,286,341,310,360,359,240
"João Mário",25,81,84,2,"Midfielder",22500000,70000,4,4,348,385,373,359,356,189
"A. Doucouré",25,81,84,4,"Midfielder",18500000,60000,3,3,357,315,338,405,364,237
"F. Vázquez",29,81,81,2,"Midfielder",17500000,20000,4,3,380,394,306,357,363,135
"E. Zahavi",30,81,81,1,"Midfielder",1.7e+07,30000,4,4,370,386,390,374,335,105
"C. Kramer",27,81,82,2,"Midfielder",1.7e+07,30000,3,3,303,329,309,309,349,236
"G. Kondogbia",25,81,84,3,"Midfielder",2.2e+07,40000,4,2,354,359,371,418,362,242
"G. Xhaka",25,81,84,2,"Midfielder",2.2e+07,110000,3,2,324,388,286,359,383,207
"S. Verdi",25,81,81,4,"Midfielder",19500000,80000,4,5,347,414,434,332,310,163
"K. Strootman",28,81,81,4,"Midfielder",14500000,60000,3,3,358,374,335,362,399,230
"N. Gaitán",30,81,81,0,"Midfielder",1.7e+07,15000,4,2,365,396,404,340,338,120
"Beñat",31,81,81,1,"Midfielder",1.5e+07,30000,3,3,344,401,346,369,375,205
"E. Lamela",26,81,81,3,"Midfielder",1.9e+07,1e+05,4,2,379,405,377,372,366,141
"Renato Augusto",30,81,81,2,"Midfielder",16500000,30000,4,4,355,399,348,368,354,212
"M. Dembélé",30,81,81,2,"Midfielder",16500000,20000,4,2,357,376,383,374,372,225
"Santi Cazorla",33,81,81,1,"Midfielder",10500000,40000,4,5,372,416,366,330,376,189
"J. Milner",32,81,81,1,"Midfielder",13500000,120000,3,4,374,392,351,376,398,233
"Joaquín",36,81,81,1,"Midfielder",6e+06,20000,4,3,381,416,360,305,329,127
"Carlos Soler",21,80,87,2,"Midfielder",2.1e+07,30000,3,4,359,386,380,352,349,181
"Everton Andrão",34,80,80,2,"Midfielder",4500000,30000,2,4,328,348,370,363,348,238
"M. Eggestein",21,80,85,4,"Midfielder",19500000,30000,3,4,329,349,364,387,347,216
"V. Rongier",23,80,85,3,"Midfielder",19500000,30000,3,3,330,382,373,356,346,231
"J. Weigl",22,80,84,2,"Midfielder",16500000,50000,3,3,303,345,349,307,333,233
"M. Vecino",26,80,81,3,"Midfielder",14500000,60000,4,3,352,369,348,378,359,226
"J. Seri",26,80,80,3,"Midfielder",15500000,70000,3,4,333,405,376,348,357,206
"I. Marcone",28,80,80,4,"Midfielder",1.2e+07,30000,3,3,309,357,288,345,352,223
"Thiago Mendes",26,80,83,3,"Midfielder",15500000,40000,4,3,332,384,388,378,369,230
"André Gomes",24,80,83,NA,"Midfielder",18500000,90000,4,4,340,388,338,371,366,214
"M. Sanson",23,80,85,3,"Midfielder",19500000,50000,4,4,370,382,378,381,366,214
"J. Quintero",25,80,83,3,"Midfielder",18500000,30000,4,2,346,411,400,308,306,100
"Fred",25,80,82,4,"Midfielder",1.8e+07,120000,4,4,344,382,406,378,365,225
"E. Can",24,80,85,3,"Midfielder",19500000,90000,3,4,344,370,364,400,378,243
"H. Çalhanoğlu",24,80,83,2,"Midfielder",1.9e+07,90000,4,4,359,433,375,350,344,174
"L. Paredes",24,80,85,4,"Midfielder",19500000,70000,4,4,346,399,372,368,368,223
"Manu Trigueros",26,80,81,3,"Midfielder",1.7e+07,40000,4,4,358,384,356,363,362,204
"T. Stepanenko",28,80,80,3,"Midfielder",1.2e+07,2000,3,3,322,324,346,374,345,235
"L. Milivojević",27,80,81,4,"Midfielder",1.4e+07,60000,2,2,325,365,306,390,397,229
"Portu",26,80,81,3,"Midfielder",17500000,40000,3,4,376,374,391,381,354,170
"Pozuelo",26,80,80,3,"Midfielder",1.6e+07,10000,4,5,342,393,375,332,342,139
"D. Klaassen",25,80,81,3,"Midfielder",17500000,30000,3,3,378,336,345,388,381,203
"Ibai Gómez",28,80,80,3,"Midfielder",1.5e+07,30000,4,5,360,407,388,369,331,186
"A. Oxlade-Chamberlain",24,80,83,4,"Midfielder",18500000,90000,4,4,324,376,416,379,378,203
"A. Yarmolenko",28,80,80,3,"Midfielder",1.5e+07,90000,4,2,378,401,367,363,372,102
"André Almeida",27,80,80,4,"Midfielder",1.2e+07,15000,3,3,341,348,337,384,344,244
"Y. Belhanda",28,80,80,2,"Midfielder",1.5e+07,70000,4,4,367,400,389,380,371,159
"R. Rodríguez",25,80,81,2,"Midfielder",14500000,80000,4,3,354,398,369,375,380,236
"R. Pereyra",27,80,80,2,"Midfielder",15500000,60000,4,4,367,394,373,347,364,184
"Iago Falqué",28,80,80,3,"Midfielder",1.5e+07,60000,4,3,357,398,403,308,309,122
"S. Kagawa",29,80,80,NA,"Midfielder",14500000,60000,4,4,347,376,387,292,327,158
"M. Lanzini",25,80,82,1,"Midfielder",1.8e+07,80000,4,3,341,400,406,337,300,88
"Camacho",28,80,80,2,"Midfielder",1.2e+07,50000,2,3,323,334,330,369,361,233
"S. Nzonzi",29,80,80,3,"Midfielder",11500000,70000,2,3,324,332,239,366,361,232
"Y. M'Vila",28,80,80,3,"Midfielder",1.2e+07,40000,3,3,318,367,359,362,364,223
"Fernando",30,80,80,1,"Midfielder",1.1e+07,60000,3,2,308,336,328,383,347,240
"D. Perotti",29,80,80,2,"Midfielder",14500000,80000,4,4,342,381,394,337,336,111
"M. Sissoko",28,80,80,2,"Midfielder",14500000,1e+05,3,2,354,387,370,413,373,237
"M. Valbuena",33,80,80,0,"Midfielder",9e+06,80000,3,3,360,400,408,317,307,98
"I. Piatti",33,80,80,0,"Midfielder",9e+06,15000,5,4,359,377,385,349,368,143
"Pedro León",31,80,80,1,"Midfielder",1.3e+07,30000,4,3,360,425,342,326,329,132
"K. Boateng",31,80,80,NA,"Midfielder",13500000,160000,4,4,392,393,356,384,378,211
"Borja Valero",33,80,80,1,"Midfielder",9e+06,70000,4,4,364,407,338,344,349,193
"I. Denisov",34,80,80,1,"Midfielder",4500000,2000,3,3,332,341,361,353,368,235
"Raffael",33,80,80,1,"Midfielder",9500000,40000,4,4,385,404,377,345,346,116
"J. Mascherano",34,80,80,0,"Midfielder",4500000,20000,2,3,306,330,363,357,351,238
"Nani",31,80,80,2,"Midfielder",1.3e+07,15000,5,5,365,418,383,325,335,95
"W. Rooney",32,80,80,2,"Midfielder",1.2e+07,15000,3,4,392,401,353,387,380,152
"V. Tsygankov",20,79,86,4,"Midfielder",1.8e+07,2000,4,4,344,372,397,314,322,139
"Lucas Paquetá",20,79,89,4,"Midfielder",20500000,60000,4,2,347,393,381,390,368,180
"R. Malinovskyi",25,79,82,3,"Midfielder",15500000,20000,4,4,376,408,352,405,369,182
"F. Kessié",21,79,88,NA,"Midfielder",1.9e+07,60000,3,4,337,338,371,422,395,232
"L. Pellegrini",22,79,87,3,"Midfielder",18500000,60000,3,3,358,365,361,360,348,216
"B. Pavard",22,79,85,2,"Midfielder",14500000,30000,3,3,311,330,353,350,325,242
"Marcos Llorente",23,79,87,2,"Midfielder",1.6e+07,110000,3,3,284,334,331,333,341,228
"A. Golovin",22,79,85,4,"Midfielder",17500000,60000,4,4,327,393,397,353,348,205
"N. Barella",21,79,89,3,"Midfielder",2e+07,30000,3,3,309,380,393,341,376,220
"H. Winks",22,79,86,5,"Midfielder",17500000,80000,3,3,302,375,383,322,333,213
"M. Dahoud",22,79,85,3,"Midfielder",1.7e+07,50000,4,4,309,364,395,378,349,195
"J. Gbamin",22,79,84,4,"Midfielder",14500000,30000,3,3,303,348,371,396,341,230
"J. Lerma",23,79,83,4,"Midfielder",1.4e+07,60000,3,4,320,354,373,397,352,238
"R. Zobnin",24,79,86,2,"Midfielder",1.5e+07,2000,4,3,340,373,366,351,338,236
"L. Dendoncker",23,79,85,NA,"Midfielder",14500000,60000,2,4,369,365,319,405,345,230
"A. Januzaj",23,79,85,3,"Midfielder",17500000,30000,4,4,341,386,392,333,293,74
"Gabriel",24,79,83,4,"Midfielder",1.6e+07,15000,3,5,351,389,326,410,378,225
"G. Pizarro",28,79,79,2,"Midfielder",1e+07,60000,3,3,330,336,291,378,365,230
"M. Arnold",24,79,83,3,"Midfielder",1.6e+07,40000,3,2,366,388,346,370,348,212
"D. Baselli",26,79,80,3,"Midfielder",14500000,50000,4,3,360,395,377,372,359,195
"Denis Suárez",24,79,83,NA,"Midfielder",1.6e+07,90000,3,3,343,398,394,335,329,170
"Roque Mesa",29,79,79,2,"Midfielder",1.2e+07,20000,3,3,285,335,394,360,356,226
"Sergi Darder",24,79,84,4,"Midfielder",16500000,30000,4,3,327,365,331,336,353,199
"D. Demme",26,79,80,2,"Midfielder",1.2e+07,50000,3,4,283,355,370,335,356,228
"J. Veretout",25,79,82,2,"Midfielder",15500000,60000,3,3,346,380,365,366,376,217
"G. Ramírez",27,79,79,2,"Midfielder",1.3e+07,40000,4,3,357,394,366,334,329,114
"M. Badelj",29,79,79,3,"Midfielder",1e+07,50000,3,4,337,355,321,354,361,229
"S. Berghuis",26,79,79,3,"Midfielder",13500000,20000,3,3,354,403,382,348,325,100
"H. Vanaken",25,79,80,5,"Midfielder",1.5e+07,30000,4,5,372,393,293,363,358,155
"Campaña",25,79,82,4,"Midfielder",15500000,30000,3,3,351,397,341,357,356,219
"Nolito",31,79,79,1,"Midfielder",1.1e+07,20000,4,3,353,389,387,350,357,115
"R. Barkley",24,79,82,4,"Midfielder",1.6e+07,90000,4,5,342,384,338,369,336,163
"B. Stambouli",27,79,79,1,"Midfielder",10500000,30000,2,4,284,307,338,352,342,238
"Borja García",27,79,79,3,"Midfielder",1.3e+07,40000,3,3,341,362,383,351,336,176
"D. Didavi",28,79,79,2,"Midfielder",12500000,40000,3,3,363,391,362,388,335,144
"G. Medel",30,79,79,1,"Midfielder",9500000,50000,3,4,286,287,391,372,354,234
"J. Pastore",29,79,79,3,"Midfielder",1.2e+07,70000,4,4,370,400,347,320,360,155
"A. Ljajić",26,79,80,NA,"Midfielder",1.5e+07,50000,4,4,341,404,391,345,301,109
"J. Wilshere",26,79,80,2,"Midfielder",14500000,80000,3,2,341,391,366,340,365,191
"Souza",29,79,79,2,"Midfielder",1e+07,40000,3,4,313,351,345,387,359,236
"F. Coquelin",27,79,80,3,"Midfielder",1.2e+07,40000,3,3,318,337,379,364,358,233
"S. Rudy",28,79,79,3,"Midfielder",1e+07,30000,3,3,342,402,367,354,362,230
"R. Boudebouz",28,79,79,NA,"Midfielder",12500000,30000,4,4,353,398,376,341,339,122
"Alex Teixeira",28,79,79,0,"Midfielder",1.3e+07,30000,4,4,351,353,440,386,350,108
"C. Noboa",33,79,79,NA,"Midfielder",0,0,4,3,355,394,364,394,376,225
"K. Asamoah",29,79,79,2,"Midfielder",9500000,60000,4,3,358,382,400,389,378,239
"M. Hasebe",34,79,79,1,"Midfielder",3800000,40000,3,3,325,353,331,314,351,246
"A. Lallana",30,79,79,2,"Midfielder",11500000,1e+05,4,5,367,385,365,350,365,185
"E. Capoue",29,79,79,3,"Midfielder",1e+07,60000,3,3,358,355,282,374,355,227
"M. Díaz",31,79,79,2,"Midfielder",8500000,20000,3,3,343,393,362,388,366,218
"A. Fernández",32,79,79,0,"Midfielder",9500000,20000,4,3,333,364,367,353,371,208
"V. Birsa",31,79,79,2,"Midfielder",1.1e+07,40000,4,4,355,400,352,381,335,160
"D. Wass",29,79,79,3,"Midfielder",1.2e+07,40000,3,3,372,401,377,380,359,224
"D. Valeri",32,79,79,0,"Midfielder",1e+07,10000,3,4,379,398,344,376,333,124
"S. Nasri",31,79,79,0,"Midfielder",1.1e+07,80000,4,4,337,391,402,326,300,115
"H. Ben Arfa",31,79,79,0,"Midfielder",1.1e+07,40000,5,4,336,397,383,358,334,79
"E. Lavezzi",33,79,79,0,"Midfielder",8e+06,20000,4,4,371,391,421,378,338,117
"Manuel Fernandes",32,79,79,1,"Midfielder",1e+07,2000,4,4,358,387,393,380,361,199
"E. Belözoğlu",37,79,79,0,"Midfielder",3100000,20000,4,4,345,408,311,347,386,192
"Dani Olmo",20,78,87,2,"Midfielder",1.6e+07,1000,4,4,341,385,395,338,320,126
"T. Souček",23,78,85,5,"Midfielder",12500000,1000,3,3,328,329,330,383,362,233
"M. Zaracho",20,78,87,2,"Midfielder",1.6e+07,20000,4,3,320,358,425,316,319,194
"D. Samassékou",22,78,86,2,"Midfielder",1.3e+07,30000,3,3,272,304,377,341,337,234
"J. Ikoné",20,78,87,4,"Midfielder",1.6e+07,30000,4,4,305,376,427,296,312,104
"Sidney Pessinho",26,78,78,2,"Midfielder",9e+06,30000,2,3,309,378,331,370,344,232
"Claudio Coíntra",34,78,78,2,"Midfielder",5e+06,30000,4,5,344,386,412,332,304,66
"P. Lees-Melou",25,78,80,2,"Midfielder",12500000,30000,4,3,337,380,357,358,345,201
"F. Grillitsch",22,78,82,3,"Midfielder",13500000,30000,3,3,323,352,336,305,322,188
"S. Berge",20,78,87,2,"Midfielder",1.4e+07,10000,3,3,298,340,346,369,331,210
"R. Bentancur",21,78,88,5,"Midfielder",16500000,70000,4,4,303,341,354,353,318,210
"Daniel Podence",22,78,84,4,"Midfielder",1.4e+07,2000,4,4,300,348,449,292,304,101
"N. Amiri",21,78,85,1,"Midfielder",14500000,30000,4,3,325,386,375,349,322,156
"Joan Jordán",23,78,83,1,"Midfielder",13500000,20000,4,4,327,393,335,345,350,197
"Granell",29,78,78,3,"Midfielder",1e+07,30000,3,4,341,385,345,352,367,195
"Petros",29,78,78,1,"Midfielder",8e+06,40000,4,3,304,334,363,367,363,203
"J. Maddison",21,78,85,4,"Midfielder",14500000,50000,4,4,323,394,383,321,328,111
"R. Battaglia",26,78,78,4,"Midfielder",1.1e+07,15000,3,4,306,330,329,387,373,240
"M. Meza",25,78,79,1,"Midfielder",12500000,50000,4,3,354,391,397,368,305,137
"S. Lobotka",23,78,84,4,"Midfielder",1.4e+07,20000,4,4,299,358,372,354,330,211
"Y. Tielemans",21,78,87,NA,"Midfielder",15500000,50000,4,5,367,392,335,370,367,206
"N. Domínguez",28,78,78,2,"Midfielder",8500000,20000,3,3,307,321,310,376,335,232
"W. Barrios",24,78,83,NA,"Midfielder",0,0,3,3,248,262,372,340,321,240
"R. Loftus-Cheek",22,78,85,5,"Midfielder",14500000,80000,4,3,322,361,355,360,339,187
"A. Iwobi",22,78,83,4,"Midfielder",1.4e+07,80000,4,3,307,339,391,317,293,79
"F. Tait",25,78,79,3,"Midfielder",12500000,30000,3,3,329,377,383,327,290,101
"N. Bentaleb",23,78,83,2,"Midfielder",13500000,30000,4,2,325,370,352,363,386,196
"W. Cyprien",23,78,83,2,"Midfielder",13500000,30000,4,3,360,393,378,396,374,220
"M. Lemina",24,78,81,3,"Midfielder",1.3e+07,40000,3,3,347,380,371,354,355,214
