"","Name","Age","Overall rating","Potential","Team & Contract","ID","Height","Weight","foot","Best overall","Best position","Growth","Joined","Loan date end","Value","Wage","Release clause","Total attacking","Crossing","Finishing","Heading accuracy","Short passing","Volleys","Total skill","Dribbling","Curve","FK Accuracy","Long passing","Ball control","Total movement","Acceleration","Sprint speed","Agility","Reactions","Balance","Total power","Shot power","Jumping","Stamina","Strength","Long shots","Total mentality","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Total defending","Marking","Standing tackle","Sliding tackle","Total goalkeeping","GK Diving","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Total stats","Base stats","Weak foot","Skill moves","Attacking work rate","Defensive work rate","International reputation","Body type","Pace / Diving","Shooting / Handling","Passing / Kicking","Dribbling / Reflexes","Defending / Pace","Physical / Positioning"
NA,"M. ReusCAM LM ST",29,88,88,"Borussia Dortmund
2012 ~ 2023",188350,"180cm / 5'11""","71kg / 157lbs","Right",86,"CAM",0,"Jul 1, 2012","N/A","€58M","€130K","€98.6M",394,82,87,49,86,90,425,87,89,84,77,88,426,85,85,86,88,82,387,88,70,76,67,86,364,51,48,89,86,90,85,130,49,36,45,61,12,12,13,13,11,2187,454,4,4,"High","Medium",4,"Lean (170-185)",85,87,84,87,45,66
NA,"M. HummelsCB",29,88,88,"FC Bayern München
2016 ~ 2021",178603,"191cm / 6'3""","92kg / 203lbs","Right",85,"CB",0,"Jul 1, 2016","N/A","€46M","€160K","€75.9M",347,64,55,87,81,60,352,68,65,53,85,81,306,47,56,58,87,58,340,71,68,66,84,51,364,69,92,56,79,68,91,266,90,89,87,42,15,6,10,5,6,2017,423,3,3,"High","Medium",4,"Normal (185+)",52,58,76,71,90,76
NA,"H. LlorisGK",31,88,88,"Tottenham Hotspur
2012 ~ 2022",167948,"188cm / 6'2""","82kg / 181lbs","Left",86,"GK",0,"Aug 31, 2012","N/A","€36M","€150K","€66.6M",94,13,10,10,50,11,115,10,11,10,50,34,321,65,62,55,85,54,195,23,74,41,43,14,138,31,27,10,30,40,65,57,29,10,18,415,88,84,68,83,92,1335,478,1,1,"Medium","Medium",4,"Lean (185+)",88,84,68,92,63,83
NA,"M. NeuerGK",32,88,88,"FC Bayern München
2011 ~ 2021",167495,"193cm / 6'4""","92kg / 203lbs","Right",86,"GK",0,"Jul 1, 2011","N/A","€34M","€120K","€56.1M",119,15,13,25,55,11,160,30,14,11,59,46,283,54,60,51,83,35,241,25,77,43,80,16,188,29,30,12,70,47,70,38,17,10,11,436,88,86,90,85,87,1465,493,4,1,"Medium","Medium",5,"Normal (185+)",88,86,90,87,57,85
NA,"Thiago SilvaCB",33,88,88,"Paris Saint Germain
2012 ~ 2020",164240,"183cm / 6'0""","82kg / 181lbs","Right",85,"CB",0,"Jul 1, 2012","N/A","€24M","€160K","€44.4M",322,60,38,81,80,63,347,62,61,64,80,80,355,68,69,68,82,68,385,71,90,74,82,68,356,76,89,59,72,60,86,262,88,89,85,45,9,12,5,9,10,2072,432,3,2,"Medium","High",4,"Normal (170-185)",69,54,73,69,88,79
NA,"S. HandanovičGK",33,88,88,"Inter
2012 ~ 2021",162835,"193cm / 6'4""","92kg / 203lbs","Right",86,"GK",0,"Jul 1, 2012","N/A","€30M","€110K","€51M",80,12,10,10,36,12,88,12,12,14,34,16,272,51,55,47,83,36,231,22,78,41,71,19,123,25,22,12,41,23,69,48,25,10,13,420,87,86,69,89,89,1262,473,2,1,"Medium","Medium",3,"Normal (185+)",87,86,69,89,53,89
NA,"PiquéCB",31,88,88,"FC Barcelona
2008 ~ 2022",152729,"194cm / 6'4""","85kg / 187lbs","Right",85,"CB",0,"Jul 1, 2008","N/A","€40M","€275K","€82M",347,57,65,85,83,57,327,63,58,43,81,82,297,54,63,58,86,36,339,62,74,67,85,51,368,76,89,64,70,69,89,263,91,87,85,58,10,11,14,15,8,1999,426,3,2,"High","Medium",4,"Normal (185+)",59,61,72,68,88,78
NA,"AlissonGK",25,87,91,"Liverpool
2018 ~ 2024",212831,"191cm / 6'3""","91kg / 201lbs","Right",86,"GK",4,"Jul 19, 2018","N/A","€46M","€130K","€88.6M",114,17,13,19,45,20,138,27,19,18,44,30,262,54,45,40,86,37,197,21,52,32,78,14,140,27,11,13,66,23,65,50,15,19,16,429,84,82,87,87,89,1330,478,3,1,"Medium","Medium",3,"Normal (185+)",84,82,87,89,49,87
NA,"S. ManéLW RW LM",26,87,87,"Liverpool
2016 ~ 2023",208722,"175cm / 5'9""","69kg / 152lbs","Right",86,"CF",0,"Jul 1, 2016","N/A","€54M","€200K","€99.9M",387,73,86,76,79,73,384,88,75,64,71,86,455,95,93,92,89,86,390,82,80,84,67,77,350,73,35,89,82,71,80,122,42,42,38,56,10,10,15,7,14,2144,457,4,4,"High","Medium",3,"Normal (170-185)",94,82,76,88,44,73
NA,"S. UmtitiCB",24,87,92,"FC Barcelona
2016 ~ 2023",205600,"182cm / 6'0""","75kg / 165lbs","Left",85,"CB",5,"Jul 12, 2016","N/A","€57M","€200K","€121.1M",350,69,51,79,81,70,353,69,72,62,73,77,360,71,73,68,82,66,405,83,89,75,84,74,345,81,87,58,58,61,82,263,88,89,86,66,15,10,14,12,15,2142,447,3,2,"Medium","High",3,"Normal (170-185)",72,64,71,72,87,81
NA,"R. SterlingRW LW",23,87,89,"Manchester City
2015 ~ 2023",202652,"170cm / 5'7""","69kg / 152lbs","Right",86,"RW",2,"Jul 14, 2015","N/A","€62M","€200K","€119.4M",347,78,80,38,84,67,381,89,72,63,69,88,461,95,92,94,87,93,338,76,57,78,52,75,305,38,30,89,79,69,79,159,47,58,54,63,15,12,12,15,9,2054,440,3,4,"High","Medium",3,"Lean (170-)",93,77,78,89,47,56
NA,"M. IcardiST",25,87,89,"Inter
2013 ~ 2021",201399,"181cm / 5'11""","75kg / 165lbs","Right",85,"ST",2,"Jul 9, 2013","N/A","€62.5M","€130K","€110.9M",386,46,91,91,73,85,315,77,58,45,54,81,395,77,78,76,88,76,393,84,94,69,76,70,316,56,22,92,64,82,85,89,45,24,20,43,13,9,5,7,9,1937,410,4,3,"Medium","Low",3,"Normal (170-185)",78,85,61,79,36,71
NA,"CasemiroCDM",26,87,89,"Real Madrid
2013 ~ 2021",200145,"185cm / 6'1""","84kg / 185lbs","Right",85,"CDM",2,"Jul 11, 2013","N/A","€50.5M","€225K","€107.3M",342,58,64,76,83,61,366,69,63,74,82,78,341,61,66,62,86,66,431,86,88,87,89,81,387,89,86,69,77,66,84,257,84,87,86,67,13,14,16,12,12,2191,456,3,2,"Medium","High",3,"Normal (185+)",64,72,75,72,85,88
NA,"H. SonCF LM",25,87,88,"Tottenham Hotspur
2015 ~ 2023",200104,"183cm / 6'0""","65kg / 143lbs","Right",87,"CF",1,"Aug 28, 2015","N/A","€61M","€170K","€117.4M",397,81,87,65,83,81,398,88,85,70,68,87,427,88,87,86,90,76,391,88,63,87,63,90,341,60,39,89,82,71,87,115,48,34,33,53,11,13,13,6,10,2122,451,5,4,"High","High",3,"Lean (170-185)",87,87,80,87,42,68
NA,"J. RodríguezCAM CM RM",26,87,87,"FC Bayern München
Jun 30, 2019 On loan",198710,"180cm / 5'11""","75kg / 165lbs","Left",85,"CAM",0,"Jul 22, 2014","Jun 30, 2019","€54M","€140K","€0",414,90,83,62,89,90,433,85,89,86,83,90,380,71,66,82,85,76,370,86,54,70,68,92,368,64,55,80,88,81,87,137,52,41,44,64,15,15,15,5,14,2166,445,3,4,"Medium","Medium",4,"Normal (170-185)",68,86,88,86,50,67
NA,"L. InsigneCF LW ST",27,87,87,"Napoli
2010 ~ 2022",198219,"163cm / 5'4""","59kg / 130lbs","Right",88,"CAM",0,"Jul 1, 2010","N/A","€53.5M","€130K","€91M",385,86,79,59,87,74,425,90,87,77,78,93,451,94,86,94,84,93,336,79,53,75,44,85,295,34,26,85,89,61,83,97,51,24,22,45,8,4,14,9,10,2034,431,4,4,"High","Medium",3,"Normal (170-)",90,79,85,91,36,50
NA,"IscoCAM CM LW",26,87,88,"Real Madrid
2013 ~ 2022",197781,"176cm / 5'9""","79kg / 174lbs","Right",85,"CAM",1,"Jul 3, 2013","N/A","€59M","€250K","€125.4M",360,75,79,55,86,65,434,94,88,76,81,95,398,75,69,87,77,90,341,69,64,64,59,85,362,58,64,78,86,76,86,175,60,64,51,51,10,8,12,15,6,2121,446,3,4,"High","Medium",3,"Normal (170-185)",72,77,83,93,61,60
NA,"K. NavasGK",31,87,87,"Real Madrid
2014 ~ 2020",193041,"185cm / 6'1""","80kg / 176lbs","Right",85,"GK",0,"Aug 3, 2014","N/A","€30.5M","€190K","€62.5M",78,11,15,11,30,11,98,16,11,15,37,19,312,54,53,60,84,61,222,21,74,39,75,13,161,32,20,16,68,25,67,56,28,14,14,418,90,81,75,82,90,1345,471,3,1,"Medium","Medium",3,"Normal (185+)",90,81,75,90,53,82
NA,"C. ImmobileST",28,87,87,"Lazio
2016 ~ 2023",192387,"185cm / 6'1""","85kg / 187lbs","Right",85,"ST",0,"Jul 27, 2016","N/A","€52M","€110K","€88.4M",387,55,90,81,74,87,336,83,70,51,49,83,390,78,85,77,87,63,399,86,77,80,76,80,351,77,40,91,65,78,81,99,34,33,32,47,6,8,15,12,6,2009,430,4,3,"High","Medium",3,"Normal (185+)",82,87,63,82,39,77
NA,"ThiagoCM CAM CDM",27,87,87,"FC Bayern München
2013 ~ 2021",189509,"174cm / 5'9""","70kg / 154lbs","Right",85,"CM",0,"Jul 14, 2013","N/A","€51.5M","€140K","€85M",375,72,69,54,90,90,429,90,85,77,87,90,409,78,69,90,86,86,364,76,75,75,59,79,374,56,78,79,86,75,85,205,67,67,71,46,6,11,7,9,13,2202,452,3,5,"Medium","Medium",3,"Normal (170-185)",73,74,84,90,68,63
NA,"Jordi AlbaLB",29,87,87,"FC Barcelona
2012 ~ 2024",189332,"170cm / 5'7""","68kg / 150lbs","Left",85,"LWB",0,"Jul 1, 2012","N/A","€38M","€250K","€77.9M",374,87,73,70,84,60,381,80,80,63,74,84,444,93,93,90,83,85,363,64,81,91,61,66,376,77,84,80,76,59,82,242,74,84,84,60,13,15,13,6,13,2240,478,3,3,"High","Medium",3,"Normal (170-)",93,69,80,83,80,73
NA,"T. AlderweireldCB",29,87,87,"Tottenham Hotspur
2015 ~ 2020",184087,"186cm / 6'1""","81kg / 179lbs","Right",85,"CB",0,"Jul 8, 2015","N/A","€39M","€160K","€72.2M",308,64,45,82,79,38,354,62,63,69,85,75,326,61,67,60,88,50,384,78,84,78,79,65,351,81,87,58,67,58,84,267,90,91,86,66,16,6,14,16,14,2056,428,3,2,"Medium","Medium",3,"Normal (185+)",64,57,73,66,89,79
NA,"D. MertensCF ST",31,87,87,"Napoli
2013 ~ 2020",175943,"169cm / 5'7""","61kg / 134lbs","Right",87,"CAM",0,"Jul 1, 2013","N/A","€45M","€130K","€76.5M",350,77,86,35,82,70,415,91,82,79,74,89,452,93,85,94,88,92,338,80,60,75,42,81,344,59,36,87,83,79,81,105,25,40,40,39,7,10,8,10,4,2043,432,4,4,"High","Low",3,"Normal (170-)",89,83,80,91,34,55
NA,"J. VertonghenCB",31,87,87,"Tottenham Hotspur
2012 ~ 2020",172871,"189cm / 6'2""","86kg / 190lbs","Left",85,"CB",0,"Jul 1, 2012","N/A","€34M","€150K","€62.9M",339,72,56,80,79,52,358,71,63,73,74,77,332,61,65,61,85,60,385,80,85,75,79,66,367,84,89,60,68,66,83,264,89,87,88,44,6,10,9,12,7,2089,438,3,3,"High","High",3,"Normal (185+)",63,63,74,72,87,79
NA,"I. RakitićCM CDM",30,87,87,"FC Barcelona
2014 ~ 2021",168651,"184cm / 6'0""","78kg / 172lbs","Right",84,"CM",0,"Jul 1, 2014","N/A","€46.5M","€250K","€95.3M",393,84,79,59,87,84,427,82,88,82,90,85,347,66,62,73,80,66,364,84,39,83,71,87,396,67,81,80,86,82,86,224,76,75,73,51,14,11,12,5,9,2202,460,4,3,"Medium","Medium",4,"Lean (170-185)",64,82,86,81,75,72
NA,"G. HiguaínST",30,87,87,"Chelsea
Jun 30, 2019 On loan",167664,"186cm / 6'1""","89kg / 196lbs","Right",84,"ST",0,"Jul 26, 2016","Jun 30, 2019","€48.5M","€200K","€0",400,68,90,79,75,88,363,83,74,62,60,84,370,69,71,75,86,69,400,86,79,70,85,80,305,50,20,90,75,70,85,75,35,22,18,39,5,12,7,5,10,1952,414,4,3,"High","Medium",4,"Normal (170-185)",70,86,71,82,31,74
NA,"FernandinhoCDM",33,87,87,"Manchester City
2013 ~ 2020",135507,"179cm / 5'10""","67kg / 148lbs","Right",85,"CDM",0,"Jul 1, 2013","N/A","€20.5M","€200K","€37.9M",363,68,69,66,86,74,384,77,70,72,83,82,374,68,67,72,89,78,399,83,78,84,76,78,385,87,89,70,78,61,79,253,87,86,80,48,12,11,5,13,7,2206,463,4,3,"Medium","High",3,"Lean (170-185)",67,74,79,79,84,80
