"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Heading.accuracy","Long.passing","Ball.control","Total.movement","Jumping","Stamina","Strength","Total.mentality","Total.defending"
"Alex Telles",25,84,86,2,"Defender",3.1e+07,20000,3,74,86,82,395,81,92,68,384,240
"N. Süle",22,84,90,3,"Defender",36500000,80000,2,86,63,63,281,38,65,94,252,251
"F. Acerbi",30,84,84,4,"Defender",2.3e+07,70000,3,82,77,72,271,68,84,86,318,260
"S. de Vrij",26,84,85,4,"Defender",3e+07,90000,2,80,71,71,336,76,66,80,302,259
"D. Alaba",26,84,85,2,"Defender",29500000,1e+05,3,75,79,82,404,82,85,71,383,240
"N. Otamendi",30,84,84,3,"Defender",2.3e+07,160000,2,84,72,70,322,92,67,80,323,251
"K. Walker",28,84,84,5,"Defender",24500000,160000,2,74,75,78,403,83,89,77,358,245
"J. Boateng",29,84,84,2,"Defender",2.4e+07,1e+05,2,85,82,70,327,73,69,91,330,256
"Sokratis",30,84,84,2,"Defender",2.3e+07,140000,2,85,54,60,348,86,72,87,282,257
"Raúl Albiol",32,84,84,2,"Defender",1.8e+07,90000,2,77,72,71,298,77,50,82,291,261
"V. Kompany",32,84,84,0,"Defender",1.8e+07,160000,2,83,66,70,283,72,65,87,332,254
"Josué Chiamulera",26,83,83,2,"Defender",22500000,40000,2,83,61,70,391,69,76,73,308,254
"L. Hernández",22,83,89,5,"Defender",29500000,60000,3,82,63,79,386,83,86,79,331,247
"D. Sánchez",22,83,87,5,"Defender",28500000,90000,2,80,67,73,345,73,76,83,296,254
"A. Robertson",24,83,88,5,"Defender",2.9e+07,110000,3,63,71,79,404,62,93,66,360,244
"João Cancelo",24,83,88,4,"Defender",2.9e+07,1e+05,4,64,75,84,417,73,90,66,348,237
"A. Romagnoli",23,83,90,3,"Defender",3.1e+07,90000,2,77,71,70,323,78,75,81,281,256
"Felipe",29,83,83,2,"Defender",2e+07,20000,2,81,67,62,313,90,80,86,304,249
"S. Savić",27,83,85,1,"Defender",25500000,70000,2,85,69,68,308,87,55,77,274,252
"J. Stones",24,83,87,3,"Defender",28500000,120000,3,83,74,80,340,75,79,77,319,252
"Nacho Fernández",28,83,84,2,"Defender",23500000,180000,2,82,61,78,356,81,78,79,294,246
"Sergi Roberto",26,83,84,3,"Defender",24500000,170000,4,72,78,83,380,47,88,69,358,239
"Bartra",27,83,84,4,"Defender",24500000,30000,3,82,81,80,377,89,67,72,355,245
"Marcos Alonso B",27,83,83,4,"Defender",21500000,130000,3,83,73,82,350,71,90,76,365,240
"A. Kolarov",32,83,83,1,"Defender",14500000,80000,3,80,77,77,354,80,85,77,403,246
"David Luiz",31,83,83,2,"Defender",17500000,130000,3,81,82,79,324,78,66,79,370,244
"Javi Martínez",29,83,83,2,"Defender",2e+07,90000,2,87,74,73,287,85,73,84,354,258
"D. De Rossi",34,83,83,0,"Defender",8e+06,80000,2,81,80,77,342,77,73,79,378,252
"Juiano Mestres",34,82,82,2,"Defender",6500000,40000,2,83,58,64,344,91,76,79,338,246
"M. Akanji",22,82,88,3,"Defender",2.6e+07,50000,2,78,76,77,375,78,76,84,293,248
"P. Kimpembe",22,82,88,4,"Defender",2.6e+07,70000,3,79,75,78,369,77,80,84,320,241
"J. Tah",22,82,87,4,"Defender",2.5e+07,60000,2,80,69,64,314,72,63,93,282,251
"D. Rugani",23,82,86,4,"Defender",24500000,90000,2,80,59,65,316,81,69,79,272,254
"N. Tagliafico",25,82,83,3,"Defender",21500000,20000,3,73,67,78,405,90,91,73,346,242
"Grimaldo",22,82,86,2,"Defender",2.4e+07,15000,3,65,79,83,423,64,86,63,339,232
"A. Rüdiger",25,82,84,3,"Defender",22500000,110000,2,81,72,69,336,73,62,82,304,249
"A. Florenzi",27,82,82,4,"Defender",18500000,70000,4,72,75,79,419,74,90,67,392,233
"H. Maguire",25,82,85,4,"Defender",23500000,80000,2,87,72,76,289,76,68,88,327,246
"T. Meunier",26,82,83,1,"Defender",2.1e+07,90000,3,75,74,82,347,72,92,85,365,239
"Gabriel Paulista",27,82,83,3,"Defender",2.1e+07,40000,2,81,69,69,366,83,78,84,331,249
"S. Coates",27,82,83,3,"Defender",2.1e+07,20000,2,80,70,62,246,54,81,94,327,254
"Mário FernandesB",27,82,82,3,"Defender",18500000,2000,3,72,71,79,384,84,87,75,357,249
"T. Delaney",26,82,83,3,"Defender",21500000,60000,3,83,79,77,382,91,90,78,381,249
"K. Glik",30,82,82,2,"Defender",16500000,80000,2,85,59,59,265,81,67,90,254,243
"V. Ćorluka",32,82,82,1,"Defender",12500000,2000,3,83,67,73,294,81,80,86,309,244
"L. Bender",29,82,82,2,"Defender",1.7e+07,80000,2,78,74,75,344,77,86,76,358,252
"Naldo",35,82,82,1,"Defender",5e+06,60000,2,90,68,67,280,43,61,82,326,245
"E. Garay",31,82,82,1,"Defender",1.5e+07,40000,2,80,72,70,245,79,70,88,334,246
"Jardel",32,82,82,2,"Defender",12500000,15000,2,85,53,60,259,77,68,89,301,247
"L. Koscielny",32,82,82,1,"Defender",12500000,110000,2,81,70,66,333,78,62,75,318,246
"Nélson Semedo",24,81,86,3,"Defender",2e+07,120000,4,58,65,80,436,80,91,65,329,236
"W. Ndidi",21,81,85,5,"Defender",19500000,50000,3,76,70,76,359,90,92,75,358,252
"V. Lindelöf",23,81,87,2,"Defender",2.1e+07,1e+05,3,78,78,76,365,80,77,79,339,242
"D. Djené",26,81,83,2,"Defender",1.8e+07,30000,2,78,58,68,381,82,77,79,294,242
"Ricardo Pereira",24,81,84,4,"Defender",18500000,60000,3,64,78,79,415,74,84,68,367,236
"M. Ginter",24,81,83,2,"Defender",18500000,30000,2,85,71,72,307,65,74,82,340,244
"L. Shaw",22,81,85,4,"Defender",1.9e+07,1e+05,3,75,68,80,396,78,81,76,363,240
"B. Mendy",23,81,86,3,"Defender",2e+07,1e+05,3,65,69,79,381,71,79,81,357,238
"Š. Vrsaljko",26,81,81,NA,"Defender",1.5e+07,70000,3,73,70,79,375,85,87,73,340,237
"J. Roussillon",25,81,83,4,"Defender",1.8e+07,50000,3,71,70,79,403,73,84,77,345,238
"S. Sané",27,81,81,3,"Defender",1.5e+07,40000,3,88,71,71,304,47,69,88,316,242
"F. Ghoulam",27,81,81,3,"Defender",14500000,70000,3,70,74,80,366,73,88,68,364,240
"N. SchulzB",25,81,82,2,"Defender",1.7e+07,40000,3,54,72,78,408,62,79,76,346,228
"L. Digne",24,81,84,4,"Defender",18500000,90000,3,70,71,82,378,84,81,70,357,241
"J. Matip",26,81,83,1,"Defender",1.8e+07,110000,2,82,74,70,304,66,73,78,323,244
"D. Lovren",28,81,81,2,"Defender",14500000,110000,2,80,66,67,275,81,68,82,297,245
"S. Mustafi",26,81,83,2,"Defender",1.8e+07,110000,2,81,69,70,334,87,68,78,321,242
"K. Trippier B",27,81,81,3,"Defender",14500000,90000,3,73,78,81,377,73,88,65,370,237
"B. Höwedes",30,81,81,3,"Defender",1.3e+07,2000,2,84,66,65,306,78,64,78,323,246
"S. Kjær",29,81,81,2,"Defender",1.4e+07,20000,2,82,69,69,289,70,76,80,295,243
"S. Bender",29,81,81,2,"Defender",1.4e+07,70000,2,75,69,60,339,73,83,77,312,257
"Ł. Piszczek",33,81,81,1,"Defender",7e+06,60000,2,74,69,76,370,77,77,78,375,243
"D. Rose B",27,81,81,2,"Defender",14500000,90000,3,62,66,80,392,75,79,72,370,247
"J. Mathieu",34,81,81,1,"Defender",5500000,15000,2,80,77,62,311,65,78,89,342,252
"Éder Militão",20,80,88,4,"Defender",1.9e+07,10000,2,76,68,70,376,86,85,77,343,243
"Odriozola",22,80,86,5,"Defender",1.7e+07,110000,3,73,70,77,408,71,83,63,331,238
"T. Alexander-Arnold",19,80,89,5,"Defender",1.9e+07,40000,3,59,80,77,386,66,79,62,346,230
"Welington Dano",30,80,80,2,"Defender",10500000,30000,4,69,71,78,402,71,89,68,354,228
"F. Balbuena",26,80,82,2,"Defender",1.5e+07,80000,2,82,56,56,279,73,76,84,282,240
"E. Bailly",24,80,85,1,"Defender",1.7e+07,1e+05,2,79,56,62,357,85,71,86,314,240
"M. Caldara",24,80,86,4,"Defender",17500000,70000,2,82,58,63,328,76,67,79,254,249
"A. Christensen",22,80,87,3,"Defender",1.8e+07,80000,2,80,71,73,336,72,69,73,285,247
"Gayà",23,80,85,4,"Defender",16500000,30000,4,52,75,81,424,54,83,61,345,232
"E. Hysaj",24,80,85,2,"Defender",16500000,50000,3,66,70,77,385,69,87,69,321,238
"M. Halstenberg",26,80,81,3,"Defender",1.4e+07,50000,3,80,62,75,342,83,82,78,348,238
"N. Aké",23,80,84,3,"Defender",16500000,60000,2,74,73,73,365,86,75,77,318,243
"S. KolašinacB",25,80,83,3,"Defender",15500000,90000,3,74,62,74,340,76,82,90,358,223
"B. Davies B",25,80,82,5,"Defender",1.5e+07,80000,3,67,70,78,364,73,85,69,355,241
"M. Nastasić",25,80,84,3,"Defender",1.6e+07,30000,2,77,68,65,346,81,62,78,293,250
"W. Orban",25,80,82,3,"Defender",1.5e+07,50000,2,84,56,59,283,90,67,85,275,241
"Iñigo Martínez",27,80,81,4,"Defender",1.4e+07,30000,2,73,81,70,351,90,71,80,300,242
"Héctor Bellerín B",23,80,85,4,"Defender",16500000,80000,3,60,59,78,422,63,82,58,345,233
"P. KadeřábekB",26,80,81,4,"Defender",1.4e+07,40000,3,71,69,77,370,69,86,79,344,227
"J. Murillo",26,80,83,NA,"Defender",15500000,130000,2,76,66,64,373,89,72,80,318,239
"A. Mandi",26,80,83,2,"Defender",15500000,30000,2,83,77,75,357,82,69,76,321,242
"D. Vida",29,80,80,3,"Defender",11500000,60000,2,79,60,66,350,79,76,78,309,247
"J. Guilavogui",27,80,81,1,"Defender",1.4e+07,50000,2,85,75,74,319,76,77,82,342,244
"S. Aurier B",25,80,82,3,"Defender",1.5e+07,80000,3,75,69,79,387,94,77,74,372,238
"G. Pezzella",27,80,82,3,"Defender",14500000,60000,2,82,56,66,277,82,63,82,266,238
"K. Vogt",26,80,80,3,"Defender",1.3e+07,40000,2,79,83,71,332,54,74,85,338,239
"Maicon",29,80,80,1,"Defender",11500000,50000,2,83,75,60,256,71,70,90,315,240
"C. Smalling",28,80,80,3,"Defender",1.2e+07,120000,2,82,64,58,315,76,71,88,316,243
"N. Nkoulou",28,80,80,1,"Defender",1.2e+07,50000,3,77,70,72,364,83,68,78,323,240
"M. Musacchio",27,80,80,2,"Defender",12500000,80000,3,76,67,67,355,83,68,76,331,248
"Ö. Toprak",28,80,80,2,"Defender",1.2e+07,60000,2,80,69,70,360,80,67,78,285,248
"L. Fejsa",29,80,80,2,"Defender",11500000,15000,2,73,73,68,297,73,85,78,343,242
"Sidnei",28,80,80,3,"Defender",1.2e+07,30000,2,75,68,76,312,79,68,91,321,231
"F. Fazio",31,80,80,2,"Defender",1e+07,60000,2,89,60,70,212,41,72,91,269,242
"Antunes",31,80,80,1,"Defender",9500000,30000,4,69,76,80,385,63,85,68,352,235
"Nacho Monreal",32,80,80,1,"Defender",8e+06,1e+05,3,72,61,77,361,74,72,65,351,244
"D. Criscito",31,80,80,3,"Defender",1e+07,20000,3,69,81,73,366,80,89,73,369,249
"José Fonte",34,80,80,2,"Defender",4500000,40000,2,80,58,64,264,72,66,82,301,240
"Ş. Radu",31,80,80,1,"Defender",1e+07,50000,3,70,67,69,352,65,69,74,332,257
"L. Perrin",32,80,80,1,"Defender",8500000,40000,2,81,77,73,319,81,71,78,349,243
"Dante",34,80,80,2,"Defender",4500000,40000,2,80,76,74,271,65,62,82,313,242
"Rúben Dias",21,79,85,5,"Defender",14500000,10000,2,81,58,60,305,76,77,79,288,234
"Melvin Parrela",30,79,79,2,"Defender",9500000,20000,2,83,72,74,351,71,87,82,367,243
"Antônio Chiamuloira",30,79,79,2,"Defender",9500000,30000,2,76,72,62,316,88,62,81,302,240
"Maikel Catarino",34,79,79,2,"Defender",3600000,40000,3,69,75,77,397,51,85,62,298,233
"Yeray",23,79,84,7,"Defender",14500000,20000,2,75,66,70,341,78,71,76,295,242
"L. Tousart",21,79,84,4,"Defender",14500000,40000,2,76,70,73,328,81,85,82,333,233
"T. Kehrer",21,79,87,4,"Defender",1.6e+07,50000,3,76,66,69,360,81,77,72,310,241
"A. Diallo",22,79,86,4,"Defender",1.5e+07,40000,3,81,78,76,377,84,76,78,321,233
"Raúl",28,79,79,3,"Defender",1e+07,20000,2,85,62,57,289,85,75,85,317,233
"J. Denayer",23,79,85,3,"Defender",14500000,50000,2,75,68,70,356,76,76,79,292,238
"Diego Carlos",25,79,81,3,"Defender",1.3e+07,30000,3,75,59,69,355,80,65,84,301,235
"D. Zappacosta B",26,79,80,2,"Defender",1.2e+07,90000,3,69,68,74,378,67,86,68,345,233
"A. Izzo",26,79,81,4,"Defender",12500000,50000,2,81,63,65,347,76,68,77,244,245
"N. Stark",23,79,84,3,"Defender",14500000,30000,2,84,67,70,359,66,70,79,315,237
"JonnyB",24,79,83,4,"Defender",13500000,60000,4,70,59,77,377,75,83,64,339,239
"J. Hector",28,79,79,4,"Defender",1e+07,30000,3,71,74,77,366,66,82,76,351,234
"M. Keane",25,79,82,3,"Defender",13500000,80000,2,81,69,69,319,82,68,85,281,239
"K. Rekik",23,79,83,2,"Defender",1.4e+07,30000,2,78,68,67,340,77,70,80,298,244
"Mário Rui",27,79,79,3,"Defender",10500000,60000,3,60,72,76,426,92,91,54,333,223
"K. Zouma",23,79,83,NA,"Defender",1.4e+07,80000,2,79,63,63,300,89,63,91,332,235
"S. Arias",26,79,80,4,"Defender",1.2e+07,50000,3,67,73,77,401,82,90,69,344,229
"K. LalaB",26,79,80,2,"Defender",1.2e+07,20000,3,64,77,78,372,70,82,72,382,222
"J. Brooks",25,79,83,3,"Defender",13500000,40000,2,82,72,64,323,72,61,84,294,237
"J. Vestergaard",25,79,80,3,"Defender",12500000,50000,2,85,80,57,202,33,54,89,348,237
"J. Tarkowski",25,79,82,3,"Defender",13500000,50000,2,80,72,68,305,82,70,81,318,238
"D. da CostaB",24,79,81,3,"Defender",12500000,30000,3,71,70,74,367,81,92,80,319,228
"E. Dier",24,79,83,2,"Defender",1.4e+07,70000,2,81,77,70,283,77,76,89,357,243
"J. Gouweleeuw",26,79,80,5,"Defender",1.2e+07,30000,2,73,80,66,341,68,71,78,336,238
"M. Hinteregger",25,79,81,NA,"Defender",1.3e+07,30000,2,78,81,62,332,85,72,83,345,243
"M. Rojo",28,79,79,2,"Defender",1e+07,110000,3,78,73,67,342,82,65,77,338,235
"David López",28,79,80,4,"Defender",11500000,30000,2,75,65,76,294,74,75,84,338,232
"Danilo",26,79,79,3,"Defender",10500000,110000,3,69,69,79,363,74,82,76,362,233
"P. Jones",26,79,80,4,"Defender",1.2e+07,110000,2,78,67,64,297,82,64,79,312,237
"Hugo Mallo",27,79,79,4,"Defender",10500000,30000,3,65,68,80,365,82,91,69,290,232
"Víctor Ruiz",29,79,79,1,"Defender",1e+07,40000,2,77,70,69,303,78,72,80,301,242
"Escudero",28,79,79,2,"Defender",1e+07,20000,3,68,77,75,378,74,83,69,352,236
"Rafael",27,79,79,2,"Defender",10500000,60000,4,64,70,78,404,82,82,73,373,227
"B. Hübner",28,79,79,3,"Defender",1e+07,40000,2,85,49,63,280,61,63,79,297,244
"V. Wanyama",27,79,80,2,"Defender",1.2e+07,80000,2,71,70,74,321,77,74,90,358,239
"Mariano",32,79,79,1,"Defender",7e+06,60000,3,59,75,82,390,70,90,70,352,224
"G. Mercado",31,79,79,0,"Defender",8500000,20000,2,76,65,69,348,76,77,82,333,235
"M. Sakho",28,79,80,2,"Defender",11500000,60000,2,74,69,63,278,75,70,91,305,234
"A. Rami",32,79,79,2,"Defender",7e+06,50000,2,74,66,67,300,76,72,91,272,231
"Marcelo",31,79,79,2,"Defender",8500000,60000,2,83,74,65,273,84,85,90,308,226
"S. Coleman",29,79,79,3,"Defender",9500000,90000,3,69,70,78,378,71,75,69,357,239
"P. Wernbloom",32,79,79,2,"Defender",7e+06,2000,3,84,72,74,299,56,84,85,380,232
"Marcano",31,79,79,2,"Defender",8500000,60000,2,82,63,67,326,90,78,77,281,238
"J. Evans",30,79,79,2,"Defender",9500000,70000,2,79,62,70,294,79,61,77,284,237
"M. Škrtel",33,79,79,4,"Defender",5e+06,60000,2,83,67,57,284,73,76,86,259,234
"G. Cahill",32,79,79,0,"Defender",7e+06,90000,2,84,60,60,252,80,61,81,315,240
"M. Debuchy",32,79,79,2,"Defender",7e+06,30000,3,74,73,75,373,81,74,72,355,236
"A. Young",32,79,79,1,"Defender",7e+06,110000,4,57,65,77,381,55,74,69,362,228
"Junior FirpoB",21,78,85,4,"Defender",1.2e+07,15000,3,75,71,75,368,71,79,76,309,228
"A. Hakimi",19,78,86,NA,"Defender",12500000,20000,3,64,68,78,407,72,84,73,318,222
"Bruno Viana",23,78,84,4,"Defender",1.2e+07,15000,2,80,63,63,318,70,78,74,282,235
"Everticinho",30,78,78,2,"Defender",7500000,30000,4,60,59,75,389,61,88,68,349,230
"Ronaldo Esler",30,78,78,2,"Defender",7500000,30000,4,60,59,74,430,59,76,33,334,228
"B. Chilwell",21,78,85,5,"Defender",1.2e+07,40000,3,67,69,78,374,81,86,70,336,230
"A. Wan-Bissaka",20,78,86,3,"Defender",1.3e+07,40000,3,60,52,72,407,60,76,67,325,247
"G. Dzhikiya",24,78,84,3,"Defender",1.2e+07,2000,2,64,67,58,357,70,72,86,318,244
"Mario Hermoso",23,78,86,1,"Defender",1.3e+07,20000,2,75,73,73,393,86,77,77,324,232
"D. Calabria",21,78,88,3,"Defender",14500000,50000,3,64,68,74,393,69,81,64,295,233
"J. Gomez",21,78,88,5,"Defender",14500000,60000,3,68,57,68,368,66,74,80,280,235
"R. AguilarB",25,78,81,3,"Defender",10500000,20000,4,60,68,75,401,77,85,60,317,231
"L. Klostermann",22,78,84,2,"Defender",1.2e+07,40000,2,74,57,75,367,82,76,74,292,233
"N. Elvedi",21,78,84,2,"Defender",1.2e+07,20000,3,79,55,72,345,73,78,77,297,233
"Y. Mina",23,78,83,4,"Defender",1.2e+07,70000,2,86,52,53,266,70,79,87,310,232
"Bastos",26,78,79,1,"Defender",1e+07,40000,2,74,65,68,371,71,65,82,263,237
"L. Dubois",23,78,82,3,"Defender",1.1e+07,50000,3,55,77,78,367,69,77,71,323,241
"Marcelo Goiano",30,78,78,2,"Defender",7500000,15000,3,67,61,76,380,72,87,64,318,232
"Capa",26,78,79,3,"Defender",1e+07,20000,3,61,56,76,402,77,92,80,361,226
"N. Maksimović",26,78,81,2,"Defender",1.1e+07,50000,2,79,59,61,308,67,67,86,244,238
"A. Donatti",31,78,78,2,"Defender",7e+06,20000,2,86,68,62,260,83,70,85,292,229
"C. Izquierdoz",29,78,78,2,"Defender",8e+06,20000,2,82,57,62,266,85,84,80,273,235
"J. MojicaB",25,78,79,3,"Defender",1e+07,30000,3,55,70,79,384,73,70,70,348,224
"H. Sakai",28,78,78,2,"Defender",8e+06,40000,2,71,64,69,372,75,90,74,323,234
"A. Samaris",29,78,78,4,"Defender",8e+06,15000,2,76,73,74,304,75,76,86,368,231
"M. De Sciglio",25,78,79,3,"Defender",1e+07,80000,3,68,68,75,382,77,87,68,323,235
"V. Chiricheş",28,78,78,3,"Defender",8500000,60000,2,73,70,66,336,73,66,72,288,243
"Z. Feddal",28,78,78,2,"Defender",8500000,20000,2,79,73,67,268,73,64,79,306,234
"D. Suárez",30,78,78,3,"Defender",7500000,20000,2,68,72,72,390,79,83,74,348,233
"J. Lascelles",24,78,82,5,"Defender",11500000,40000,2,79,57,65,316,85,70,84,242,233
"Álvaro",28,78,79,2,"Defender",9500000,30000,2,73,57,64,355,92,78,74,288,235
"L. Spinazzola",25,78,79,3,"Defender",12500000,90000,3,62,72,80,378,76,89,68,349,232
"W. Boly",27,78,80,2,"Defender",1e+07,60000,2,77,64,63,296,62,60,93,308,232
"L. Kurzawa B",25,78,79,1,"Defender",1e+07,60000,4,75,72,80,380,82,77,72,354,227
"D. Sidibé",25,78,79,3,"Defender",1e+07,60000,3,72,72,77,371,83,91,74,335,222
"Pedro Mendes",27,78,80,2,"Defender",1e+07,30000,2,73,64,63,309,74,75,79,257,240
"A. Soumaoro",26,78,81,2,"Defender",1.1e+07,30000,2,78,56,61,305,83,72,91,261,229
"L. Dunk",26,78,80,4,"Defender",10500000,50000,2,76,74,68,254,72,64,82,269,234
"Sergi Gómez",26,78,81,3,"Defender",1.1e+07,15000,2,74,77,70,286,69,68,78,300,239
"N. Pallois",30,78,78,3,"Defender",7500000,30000,2,72,68,60,261,76,67,90,285,234
"F. Lejeune",27,78,80,3,"Defender",1e+07,50000,2,75,70,73,278,76,73,83,297,229
"Jaume Costa",30,78,78,2,"Defender",7500000,30000,3,68,65,78,382,73,70,68,344,233
"S. Cook",27,78,78,2,"Defender",8500000,60000,2,80,61,67,305,75,68,78,258,232
"Mario Gaspar   B",27,78,78,4,"Defender",8500000,30000,3,65,69,74,351,73,75,77,327,243
"S. Duffy",26,78,80,4,"Defender",10500000,50000,2,83,64,57,235,89,61,85,301,229
"N. Clyne",27,78,78,NA,"Defender",8500000,60000,3,68,66,78,382,69,76,67,336,236
"C. Kabasele",27,78,80,2,"Defender",1e+07,50000,2,78,57,66,333,82,69,80,301,235
"De Marcos",29,78,78,2,"Defender",8e+06,20000,4,59,69,75,398,78,93,73,352,217
"Cote",28,78,78,1,"Defender",8e+06,20000,3,74,64,76,363,69,76,66,327,228
"B. Mee",28,78,78,2,"Defender",8500000,50000,2,78,59,62,333,93,74,82,303,235
"Daniel Carriço",29,78,78,1,"Defender",8e+06,20000,2,76,75,64,300,92,59,77,342,234
"Rafael Tolói",27,78,80,1,"Defender",1e+07,30000,2,76,68,66,341,76,60,69,314,239
"D. Schwaab",29,78,78,1,"Defender",8e+06,15000,2,77,69,71,340,73,76,77,315,235
"J. Holebas",34,78,78,1,"Defender",2900000,50000,3,74,69,78,361,73,79,73,344,232
"M. Cáceres",31,78,78,NA,"Defender",7e+06,80000,3,76,65,69,382,91,69,75,316,236
"D. Da Silva",30,78,78,2,"Defender",7500000,30000,2,80,71,69,311,77,65,78,282,233
"C. Zapata",31,78,78,0,"Defender",7e+06,70000,2,76,58,55,311,82,61,84,269,246
"J. Tomkins",29,78,78,2,"Defender",8e+06,50000,2,78,60,59,263,76,65,79,293,240
"H. Moreno",30,78,78,2,"Defender",7500000,30000,2,84,68,68,332,74,68,74,321,237
"N. Moisander",32,78,78,2,"Defender",6e+06,30000,3,77,76,72,321,77,63,76,326,234
"Coke",31,78,78,3,"Defender",7e+06,20000,3,83,68,79,366,85,76,69,351,232
"R. Bertrand B",28,78,78,2,"Defender",8e+06,50000,3,68,70,78,371,70,73,70,315,234
"A. Masiello",32,78,78,2,"Defender",6e+06,30000,2,76,68,62,308,79,63,75,255,239
"A. Valencia",32,78,78,0,"Defender",5500000,1e+05,3,62,69,79,388,69,76,79,349,231
"Javi García",31,78,78,2,"Defender",7e+06,20000,3,83,76,75,300,91,78,83,348,222
"D. Abraham",31,78,78,2,"Defender",7e+06,30000,2,78,75,59,347,77,68,80,288,235
"T. Vermaelen",32,78,78,3,"Defender",6e+06,10000,2,82,78,68,317,89,37,79,311,233
"Hilton",40,78,78,1,"Defender",0,15000,3,79,72,73,252,79,54,76,337,236
"J. Pinola",35,78,78,1,"Defender",2400000,15000,2,74,68,67,345,81,67,81,320,230
"L. Martínez",20,77,86,2,"Defender",1.2e+07,10000,3,71,72,72,372,80,78,73,337,233
"D. Zagadou",19,77,85,3,"Defender",1.1e+07,20000,2,79,61,54,270,64,62,90,253,235
"I. Konaté",19,77,87,4,"Defender",1.2e+07,20000,3,72,62,67,344,75,65,78,266,233
"Luiz Felipe",21,77,86,1,"Defender",1.2e+07,30000,3,69,62,69,340,68,55,69,286,237
"Aarón Martín B",21,77,84,4,"Defender",10500000,20000,3,71,64,75,365,61,78,60,303,231
"J. Mæhle",21,77,85,1,"Defender",1.1e+07,10000,3,59,68,74,392,80,91,76,312,219
"T. Hernández",20,77,85,NA,"Defender",1.1e+07,20000,3,72,52,72,386,62,75,79,290,227
"I. Diop",21,77,86,4,"Defender",1.2e+07,50000,2,75,63,60,307,73,69,83,284,235
"Vieirundinho",30,77,77,2,"Defender",6500000,20000,2,74,69,64,286,54,80,88,263,232
"Gazzolisco",30,77,77,2,"Defender",6500000,30000,3,77,67,72,368,72,89,82,351,226
"D. Upamecano",19,77,88,2,"Defender",1.3e+07,20000,2,71,66,64,348,86,61,88,286,227
"O. Colley",25,77,82,3,"Defender",1e+07,30000,2,79,60,62,314,65,79,88,247,231
"N. Mukiele",20,77,85,4,"Defender",1.1e+07,30000,3,69,68,74,365,86,69,79,314,233
"K. Laimer",21,77,83,2,"Defender",1.2e+07,30000,3,66,73,78,382,69,84,68,347,223
